'di	d i
'go	g o
'kin	k i n
'no	n o
'pacto	p a k t o
'pag	p a g
'to	t o
'wag	w a g
'y	i
'yan	y a n
'yo	y o q
'yong	y u ng
'yung	y o ng
a	q a
a-disi-syete	q a d i s i q s y e t e
a-uno	a q u n o
aabot	a q a b o t
aabutin	a q a b u t i n
aakayin	q a a k a y i n
aakyat	q a q a k y a t
aalis	q a a l i s
aangat	a q a ng a t
aanhin	a q a n h i n
aanihin	q a a n i h i n
aatasang	q a a t a s a ng
aawit	q a a w i t
aayaw	a q a y aw
ab	q a b
aba	q a b a
aba'y	q a b ay
aba-aba	q a b a q a b a
abaca	q a b a k a
abaka	q a b a k a
abing	q a b i ng
abo	q a b o
aboitiz	q a b oy t i z
abril	q a b r i l
abroad	q a b r o d
abs-cbn	ey b i q e s s i b i q e n
absence	ey b i q e s e n s
absorption	ey b i q e s o er p sh uh n
abutan-abutan	q a b u t a n q a b u t a n
abutin	q a b u t i n
access	q a k s e s
acids	q ae s i d s
acne	q a k n i
act	q a k t
activity	q a k t i v i t i
acute	q a k y u t
adb	q ey d i b i
added	q a d d e d
adhika	q a d h i k a
adik	q a d i k
administrasyon	q a d m i n i s t r a sh o n
administration	q a d m i n i s t r ey sh uh n
administrative	q a d m i n i s t r a t i v
administrator	q a d m i n i s t r a t o r
adobo	q a d o b o
adolescent	q a d o l e s s e n t
ads	q a d s
aerobics	q a e er u b e s i s
affairs	q a f e r s
afritada	q a f er i t a d a
ag	q a g
agad	q a g a d
agarang	q a g a r a ng
agawan	q a g a w a n
agawan-agawan	q a g a w a n q a g a w a n
agenda	q ey jh e n d a
agimat	q a g i m a t
ago	q a g o
agoncillo	q a g o n s i ly o
agos	q a g o s
agosto	q a g o s t o
agricultural	q a g r i k u l ch u r a l
agriculture	q a g r i k u l ch er
agrikultura	q a g r i k a l t u r a
aguinaldo	q a g i n a l d o
agustin	q a g u s t i n
ah	a
ahas	q a h a s
ahensya	a h e n sh a
ahensyang	a h e n sh a ng
ahkel	q a h k e l
aid	q a i d
aileen	q e l i n
airbus	q e r b u s
airline	q e er l ay n
airlines	q e er l ay n s
airport	q e er p o er t
airsick	q e r s i k
akala	q a k a l a
akin	q a k i n
aking	q a k i ng
aklat	q a k l a t
akma	q a k m a
akmang	q a k m a ng
ako	q a k o
ako'y	q a k oy
akong	q a k u ng
aksyunan	q a k sh u n a n
aktibong	q a k t i b o ng
alaala	q a l a a l a
alagaan	a l a g a q a n
alak	a l a k
alak-alakan	a l a k q a l a k a n
alam	a l a m
alamang	a l a m a ng
alamin	a l a m i n
alapaap	a l a p a q a p
alas	a l a s
alay	a l ay
albay	a l b ay
albert	a l b er t
alemanya	q a l i m a ny a
alfabeto	q a l f a b e t o
alfred	q a l f er e d
alikabok	a l i k a b u k
alimango	a l i m a ng o
alimango'y	a l i m a ng oy
alimangong	a l i m a ng o ng
alimpuyo	a l i m p u y o q
alin	a l i n
alin-alin	a l i n q a l i n
aling	a l i ng
alinmang	a l i n m a ng
alisin	a l i s i n
alitaptap	a l i t a p t a p
all	o l
allan	q a l a n
allen	q a l e n
allergic	q a l e er jh i k
allergy	q a l e er jh i
alliance	q a l a y a n s
almira	a l m i r a
almonte	a l m o n t e
almusal	a l m u s a l
alon	a l u n
alpa	q a l p a
alta	q a l t a
altapresyon	q a l t a p r e sh o n
alternatibo	q a l t er n a t i b o
alvin	q a l v i n
alyansa	q a ly a n s a
am	q a m
ama	q a m a
amando	q a m a n d o
amang	q a m a ng
ambassador	q a m b a s a d o r
ambon	q a m b o n
ambuklao	q a m b u k l aw
amco	q a m k o
america	q a m e r i k a
amerika	q a m e r i k a
amerikano	q a m e r i k a n o
amigo	q a m i g o
amihan	q a m i h a n
amin	q a m i n
aminadong	q a m i n a d o ng
aming	q a m i ng
amino	q a m i n o
amo	q a m o
amomongo	q a m o m o ng a
ampon	q a m p u n
an	q a n
anak	q a n a k
analyn	q a n a ly n
analyst	q a n a ly s t
and	q a n d
andiyan	q a n d i y a n
andyan	q a n d y a n
ang	q a ng
angel	q a n jh e l
angeles	q a ng e l e s
angelo	q a n jh e l o
anghel	a ng h e l
ani	q a n i
anibersaryo	a n i b er s a r i y o
anihin	q a n i h i n
aniko	a n i k o
anilao	a n i l aw
anim	a n i m
animnapu	a n i m n a p u
animnapu't	a n i m n a p u t
anino	q a n i n o
anit	q a n i t
anito	q a n i t o
aniya	q a ny a
anjo	q a n jh o
ann	q a n
anna	q a n a
anne	q a n
annual	q a n w a l
ano	q a n o
anong	q a n o ng
antayin	a n t a y i n
anthony	q a n th o n i
anti-fungal	q a n t i q f q u ng a l
antipolo	q a n t i p o l o
anu-ano	q a n u q a n o
anu-anong	q a n u q a n o ng
anuman	q a n u m a n
anumang	q a n u m a ng
anya	a ny a
anyaya	q a n y a y a
anyo	q a n y o
apat	a p a t
apatanapu't	a p a t a n a p u t
apatanpu't	a p a t a n p u t
apatnapu	a p a t n a p u
apatnapu't	a p a t n a p u t
apatnapung	a p a t n a p u ng
apaw	q a p aw
apdo	q a p d o
apec	q ey p e k
apektado	q a p e k t a d o
apo	q a p o
apoy	q a p oy
aprika	q a p r i k a
april	q ey p r i l
aprub	q a p r u b
aquatic	q a k a t i k
aquino	q a k i n o
aralin	q a r a l i n
aralin-aralin	q a r a l i n q a r a l i n
araw	q a r aw
araw-araw	q a r aw q a r aw
are	q a r e
argel	q a r g e l
ari	q a r i
ariel	q a r i y e l
arlene	q a r l i n
armpit	q a r m p i t
arnel	q a r n e l
arnold	q a r n ow l d
arroyo	a r o y o q
arroz	a r u z
artist	q a er t i s
artistang	q a er t i s t a ng
arup	q a r u p
asahan	q a s a h a n
asal	q a s a l
asawa	q a s a w a
ascott	q a s k o t
asean	q a s i n
ashley	q a sh l i
asia	q ey sh a
asian	q ey sh a n
asin	a s i n
asis	q a s i s
ask	q a s
aso	a s o
aspe	q a s p e
assignment	q a s i g n m e n t
assistant	q a s i s t a n t
association	q a s o s i ey sh uh n
asthma	q a s t m a
asukal	a s u k a l
asul	q a s u l
asya	q a sh a
at	q a t
ata	q a t a
atake	q a t ey k
atay	q a t ay
atbp	q a t b i p i
ate	q a t e
atensiyon	q a t e n sh o n
ati'y	q a t i
atin	q a t i n
ating	q a t i ng
atleta	q a t l e t a
atraso	q a t r a s o
atrium	q a t er i u m
atsara	q a t s a r a
attack	q a t o er a k
attorney	q a t o er o n i
atulungan	q a t u l u ng a n
aurora	aw r u r a
australia	q a a s t r a ly a
avenue	q a v i n w e
average	q a v er e jh
aviation	q a v i ey sh uh n
awa	q a w a
awang	q a w a ng
awareness	q a w a r e n e s
away	aw ay
awit	q a w e t
awitin	q a w i t i n
awla'y	aw l ay
ay	ay
ayala	q a y a l a
ayaw	q a y aw
ayon	q a y u n
ayos	q a y o s
ayun	q a y o n
ayusin	q a y u s i n
azul	q a z u l
b	b
ba	b a
ba't	b a t
baba	b a b a
baba-baba	b a b a q b a b a q
bababa	b a q b a q b a q
bababaan	b a b a b a q a n
babad	b a b a d
babae	b a b a
babagsak	b a b a g s a k
babalik	b a b a l i k
babasahin	b a b a s a h i n
babayaran	b a b a y a r a n
babayuhin	b a b a y u h i n
baboy	b a b oy
bacolod	b a k o l o d
bacolod-silay	b a k u l o d s i l ay
bacterial	b a k t e r i y a l
bader	b a d er
badha	b a d h a q
bag	b a g
baga	b a g a
bagao	b a g o
bagay	b a g ay
bagkus	b a g k u s
bago	b a g o q
bagong	b a g o ng
